Date (Daily +00:00: 01/01/2013 - 12/31/2013),Series,Value
2013-10-07,FOXNEWS,0.45
2013-10-08,FOXNEWS,0.3976
2013-10-09,FOXNEWS,0.1184
2013-10-10,FOXNEWS,0.1415
2013-10-11,FOXNEWS,0.214
2013-10-12,FOXNEWS,0.5606
2013-10-13,FOXNEWS,1.0191
2013-10-14,FOXNEWS,0.6216
2013-10-15,FOXNEWS,0.3094
2013-10-16,FOXNEWS,0.2166
2013-10-17,FOXNEWS,0.2353
2013-10-18,FOXNEWS,0.4249
2013-10-19,FOXNEWS,0.6397
2013-10-20,FOXNEWS,0.8289
2013-10-21,FOXNEWS,0.4282
2013-10-22,FOXNEWS,0.3596
2013-10-23,FOXNEWS,0.9988
2013-10-24,FOXNEWS,0.7707
2013-10-25,FOXNEWS,0.4068
2013-10-26,FOXNEWS,0.4355
2013-10-27,FOXNEWS,1.1295
2013-10-28,FOXNEWS,0.5977
2013-10-29,FOXNEWS,0.5393
2013-10-30,FOXNEWS,0.4022
2013-10-31,FOXNEWS,0.5378
2013-11-01,FOXNEWS,0.5618
2013-11-02,FOXNEWS,0.3959
2013-11-03,FOXNEWS,0.4163
2013-11-04,FOXNEWS,0.9936
2013-11-05,FOXNEWS,0.5549
2013-11-06,FOXNEWS,0.3477
2013-11-07,FOXNEWS,2.0114
2013-11-08,FOXNEWS,1.2308
2013-11-09,FOXNEWS,1.001
2013-11-10,FOXNEWS,1.7857
2013-11-11,FOXNEWS,0.6779
2013-11-12,FOXNEWS,0.5381
2013-11-13,FOXNEWS,0.1878
2013-11-14,FOXNEWS,0.2999
2013-11-15,FOXNEWS,0.4254
2013-11-16,FOXNEWS,0.5463
2013-11-17,FOXNEWS,0.4237
2013-11-18,FOXNEWS,0.5461
2013-11-19,FOXNEWS,0.4515
2013-11-20,FOXNEWS,0.4461
2013-11-21,FOXNEWS,0.5448
2013-11-22,FOXNEWS,0.4493
2013-11-23,FOXNEWS,0.6074
2013-11-24,FOXNEWS,0.7241
2013-11-25,FOXNEWS,0.7196
2013-11-26,FOXNEWS,0.5156
2013-11-27,FOXNEWS,0.561
2013-11-28,FOXNEWS,0.3605
2013-11-29,FOXNEWS,0.4192
2013-11-30,FOXNEWS,0.6508
2013-12-01,FOXNEWS,0.9881
2013-12-02,FOXNEWS,0.6123
2013-12-03,FOXNEWS,0.5585
2013-12-04,FOXNEWS,0.7461
2013-12-05,FOXNEWS,0.6576
2013-12-06,FOXNEWS,0.4992
2013-12-07,FOXNEWS,0.3094
2013-12-08,FOXNEWS,0.4217
2013-12-09,FOXNEWS,0.6706
2013-12-10,FOXNEWS,0.716
2013-12-11,FOXNEWS,0.5086
2013-12-12,FOXNEWS,0.4883
2013-12-13,FOXNEWS,0.5525
2013-12-14,FOXNEWS,0.6036
2013-12-15,FOXNEWS,0.9644
2013-12-16,FOXNEWS,0.7766
2013-12-17,FOXNEWS,0.3862
2013-12-18,FOXNEWS,0.6005
2013-12-19,FOXNEWS,0.4756
2013-12-20,FOXNEWS,0.6961
2013-12-21,FOXNEWS,0.4082
2013-12-22,FOXNEWS,0.7185
2013-12-23,FOXNEWS,0.4066
2013-12-24,FOXNEWS,1.0755
2013-12-25,FOXNEWS,0.0693
2013-12-26,FOXNEWS,0.4627
2013-12-27,FOXNEWS,1.0665
2013-12-28,FOXNEWS,1.1613
2013-12-29,FOXNEWS,1.5203
2013-12-30,FOXNEWS,1.0146
2013-12-31,FOXNEWS,0.2211
2013-01-01,MSNBC,0.2429
2013-01-02,MSNBC,0.123
2013-01-03,MSNBC,0.4693
2013-01-04,MSNBC,0.3084
2013-01-05,MSNBC,0.6408
2013-01-06,MSNBC,0.4469
2013-01-07,MSNBC,0.0667
2013-01-08,MSNBC,0.314
2013-01-09,MSNBC,0.4751
2013-01-10,MSNBC,0.2242
2013-01-11,MSNBC,0.3825
2013-01-12,MSNBC,0.3676
2013-01-13,MSNBC,0.2584
2013-01-14,MSNBC,0.1627
2013-01-15,MSNBC,0.1327
2013-01-16,MSNBC,0.1985
2013-01-17,MSNBC,0.4728
2013-01-18,MSNBC,0.3158
2013-01-19,MSNBC,0.3131
2013-01-20,MSNBC,0.3495
2013-01-21,MSNBC,0.0633
2013-01-22,MSNBC,0.3072
2013-01-23,MSNBC,0.1694
2013-01-24,MSNBC,0.2879
2013-01-25,MSNBC,0.5815
2013-01-26,MSNBC,0.3352
2013-01-27,MSNBC,0.26
2013-01-28,MSNBC,0.3972
2013-01-29,MSNBC,0.3985
