Date (Daily +00:00: 01/01/2012 - 12/31/2012),Series,Value
2012-10-22,FOXNEWS,0.0726
2012-10-23,FOXNEWS,0.0923
2012-10-24,FOXNEWS,1.2729
2012-10-25,FOXNEWS,0.8146
2012-10-26,FOXNEWS,0.2644
2012-10-27,FOXNEWS,0.0956
2012-10-28,FOXNEWS,0.1268
2012-10-29,FOXNEWS,0.0903
2012-10-30,FOXNEWS,0.0237
2012-10-31,FOXNEWS,0.44
2012-11-01,FOXNEWS,0.2341
2012-11-02,FOXNEWS,0.0236
2012-11-03,FOXNEWS,0.119
2012-11-04,FOXNEWS,0.0713
2012-11-05,FOXNEWS,0.0476
2012-11-06,FOXNEWS,0.0244
2012-11-07,FOXNEWS,0
2012-11-08,FOXNEWS,0.1692
2012-11-09,FOXNEWS,0.1444
2012-11-10,FOXNEWS,0.2201
2012-11-11,FOXNEWS,0.1521
2012-11-12,FOXNEWS,0.2927
2012-11-13,FOXNEWS,0.1694
2012-11-14,FOXNEWS,0.0477
2012-11-15,FOXNEWS,0.517
2012-11-16,FOXNEWS,0.0984
2012-11-17,FOXNEWS,0.0947
2012-11-18,FOXNEWS,0.0727
2012-11-19,FOXNEWS,0.0779
2012-11-20,FOXNEWS,0.0491
2012-11-21,FOXNEWS,0.2606
2012-11-22,FOXNEWS,0.5357
2012-11-23,FOXNEWS,0.0579
2012-11-24,FOXNEWS,0.1635
2012-11-25,FOXNEWS,0.1448
2012-11-26,FOXNEWS,0.2663
2012-11-27,FOXNEWS,0
2012-11-28,FOXNEWS,0.1898
2012-11-29,FOXNEWS,0.1931
2012-11-30,FOXNEWS,0.2893
2012-12-01,FOXNEWS,0.1442
2012-12-02,FOXNEWS,0.2498
2012-12-03,FOXNEWS,0.1947
2012-12-04,FOXNEWS,0.1675
2012-12-05,FOXNEWS,0.5345
2012-12-06,FOXNEWS,0.1449
2012-12-07,FOXNEWS,0.0951
2012-12-08,FOXNEWS,0.2943
2012-12-09,FOXNEWS,0.2012
2012-12-10,FOXNEWS,0.0494
2012-12-11,FOXNEWS,0.0978
2012-12-12,FOXNEWS,0.0964
2012-12-13,FOXNEWS,0.3914
2012-12-14,FOXNEWS,0.4373
2012-12-15,FOXNEWS,0.3621
2012-12-16,FOXNEWS,0.2497
2012-12-17,FOXNEWS,0.0733
2012-12-18,FOXNEWS,0.3405
2012-12-19,FOXNEWS,0.3913
2012-12-20,FOXNEWS,0.1216
2012-12-21,FOXNEWS,0.2869
2012-12-22,FOXNEWS,0.2896
2012-12-23,FOXNEWS,0.0737
2012-12-24,FOXNEWS,0.2509
2012-12-25,FOXNEWS,0.6042
2012-12-26,FOXNEWS,0.2652
2012-12-27,FOXNEWS,0.6568
2012-12-28,FOXNEWS,0.14
2012-12-29,FOXNEWS,0.2503
2012-12-30,FOXNEWS,0.268
2012-12-31,FOXNEWS,0.2131
2012-01-01,MSNBC,0.6289
2012-01-02,MSNBC,0.4125
2012-01-03,MSNBC,0.1136
2012-01-04,MSNBC,0.3193
2012-01-05,MSNBC,0.4581
2012-01-06,MSNBC,0.3476
2012-01-07,MSNBC,0.4179
2012-01-08,MSNBC,0.8071
2012-01-09,MSNBC,0.6741
2012-01-10,MSNBC,0.3107
2012-01-11,MSNBC,0.07
2012-01-12,MSNBC,0.4079
2012-01-13,MSNBC,0.1357
2012-01-14,MSNBC,0.2106
2012-01-15,MSNBC,0.8576
2012-01-16,MSNBC,0.3359
2012-01-17,MSNBC,0.0679
2012-01-18,MSNBC,0.1344
2012-01-19,MSNBC,0.2736
2012-01-20,MSNBC,0.3589
2012-01-21,MSNBC,0.373
2012-01-22,MSNBC,0.5709
2012-01-23,MSNBC,0.136
2012-01-24,MSNBC,0.3627
2012-01-25,MSNBC,0.1303
2012-01-26,MSNBC,0.157
2012-01-27,MSNBC,0.2221
2012-01-28,MSNBC,0.8399
2012-01-29,MSNBC,0.4244
2012-01-30,MSNBC,0.5774
2012-01-31,MSNBC,0.2698
2012-02-01,MSNBC,0.7255
2012-02-02,MSNBC,0.7386
2012-02-03,MSNBC,0.3575
2012-02-04,MSNBC,0.3584
2012-02-05,MSNBC,0.6349
2012-02-06,MSNBC,0.0335
2012-02-07,MSNBC,0.1335
2012-02-08,MSNBC,0.3525
